整体情况：
两个核：
time per syscall : 69290932  , total time : 8730657520, total cnt : 126       , syscall name : sys_mkdirat, mm : -617 pages
time per syscall : 71076     , total time : 254310400 , total cnt : 3578      , syscall name : sys_unlinkat, mm : 32365 pages
time per syscall : 29480     , total time : 58960     , total cnt : 2         , syscall name : sys_statfs, mm : 0 pages
time per syscall : 3920      , total time : 3920      , total cnt : 1         , syscall name : sys_ftruncate, mm : 0 pages
time per syscall : 57462     , total time : 59014400  , total cnt : 1027      , syscall name : sys_faccessat, mm : 991 pages
time per syscall : 29200     , total time : 58400     , total cnt : 2         , syscall name : sys_chdir, mm : 0 pages
time per syscall : 135300    , total time : 892441600 , total cnt : 6596      , syscall name : sys_openat, mm : -5856 pages
time per syscall : 6176      , total time : 1082385280, total cnt : 175245    , syscall name : sys_close, mm : 1609 pages
time per syscall : 20689     , total time : 28096800  , total cnt : 1358      , syscall name : sys_pipe2, mm : -1358 pages
time per syscall : 114890    , total time : 919120    , total cnt : 8         , syscall name : sys_getdents64, mm : 0 pages
time per syscall : 5388      , total time : 189666000 , total cnt : 35198     , syscall name : sys_lseek, mm : 0 pages
time per syscall : 4293173   , total time : 19405250109920, total cnt : 4520025   , syscall name : sys_read, mm : -299379 pages
time per syscall : 435913    , total time : 1948186507760, total cnt : 4469203   , syscall name : sys_write, mm : -238331 pages
time per syscall : 35492     , total time : 445818720 , total cnt : 12561     , syscall name : sys_readv, mm : 435 pages
time per syscall : 791656    , total time : 21723856960, total cnt : 27441     , syscall name : sys_writev, mm : 76577 pages
time per syscall : 16461     , total time : 16889600  , total cnt : 1026      , syscall name : sys_pread64, mm : -1 pages
time per syscall : 200070    , total time : 819488960 , total cnt : 4096      , syscall name : sys_pwrite64, mm : -3635 pages
time per syscall : 544365040 , total time : 2177460160, total cnt : 4         , syscall name : sys_sendfile, mm : -86 pages
time per syscall : 11585     , total time : 195239478960, total cnt : 16851474  , syscall name : sys_pselect6, mm : 8790 pages
time per syscall : 426       , total time : 581680    , total cnt : 1365      , syscall name : sys_ppoll, mm : 0 pages
time per syscall : 669       , total time : 14720     , total cnt : 22        , syscall name : sys_readlinkat, mm : 0 pages
time per syscall : 41841     , total time : 169332880 , total cnt : 4047      , syscall name : sys_fstatat, mm : -332 pages
time per syscall : 9224      , total time : 24287040  , total cnt : 2633      , syscall name : sys_fstat, mm : 0 pages
time per syscall : 458       , total time : 35760     , total cnt : 78        , syscall name : sys_sync, mm : 0 pages
time per syscall : 342       , total time : 37360     , total cnt : 109       , syscall name : sys_fsync, mm : 0 pages
time per syscall : 38454     , total time : 730640    , total cnt : 19        , syscall name : sys_utimensat, mm : 0 pages
time per syscall : 0         , total time : 0         , total cnt : 15103     , syscall name : sys_exit, mm : 0 pages
time per syscall : 1332      , total time : 11476880  , total cnt : 8616      , syscall name : sys_exit_group, mm : 0 pages
time per syscall : 1489      , total time : 5410160   , total cnt : 3631      , syscall name : sys_set_tid_address, mm : 0 pages
time per syscall : 152678    , total time : 1505865040, total cnt : 9863      , syscall name : sys_futex, mm : 20455 pages
time per syscall : 960       , total time : 5760      , total cnt : 6         , syscall name : sys_set_robust_list, mm : 0 pages
time per syscall : 35200     , total time : 70400     , total cnt : 2         , syscall name : sys_get_robust_list, mm : 0 pages
time per syscall : 224       , total time : 65194640  , total cnt : 291016    , syscall name : sys_nanosleep, mm : -5 pages
time per syscall : 13547     , total time : 1490240   , total cnt : 110       , syscall name : sys_setitimer, mm : 0 pages
time per syscall : 3922      , total time : 104279920 , total cnt : 26582     , syscall name : sys_clock_gettime, mm : 0 pages
time per syscall : 12940     , total time : 51760     , total cnt : 4         , syscall name : sys_clock_getres, mm : 0 pages
time per syscall : 143230533 , total time : 32943022720, total cnt : 230       , syscall name : sys_clock_nanosleep, mm : -7925 pages
time per syscall : 5600      , total time : 11200     , total cnt : 2         , syscall name : sys_syslog, mm : 0 pages
